public_sku,manufacturer_mpn,manufacturer,category,title,source_class,source_domain,response_status,http_status,content_type,pixel_width,pixel_height,file_size_bytes,duplicate_url_group,near_duplicate_url_group,duplicate_content_group,match_status,match_confidence,rights_status,approved_public_image_count,storefront_image_status,review_status,notes
C4-CJM,C4-CJM,Antennas Direct,Antennas & RF,Clearstream 4 Outdoor Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,172155,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
C4-V-CJM,C4-V-CJM,Antennas Direct,Antennas & RF,Ind/outdr Hdtv Ant/mnt,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,116265,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
C5,C5,Antennas Direct,Antennas & RF,Clearstream 5 Dtv Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,190460,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CJMOUNT,CJMOUNT,Antennas Direct,Antennas & RF,Antenna Mount,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,171623,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
DB8-E,DB8-E,Antennas Direct,Antennas & RF,DB8E Bowtie UHF Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,243009,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
MAST40,MAST40,Antennas Direct,Antennas & RF,40IN ClearStream Universal Mast,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,43930,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BK350,BK350,APC,Network Equipment,Back-UPS CS 350 VA Tower,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,120223,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BE550G,BE550G,APC,Network Equipment,550VA 8-OUT Back-ups Es,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,145813,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BE650G1,BE650G1,APC,Network Equipment,Back-UPS 650 VA Battery Backup,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,119803,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BK500,BK500,APC,Network Equipment,Back-ups 500 System,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,122368,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BR1500MS2,BR1500MS2,APC,Network Equipment,Back-UPS Pro 1500 VA Tower with 10 AC Outlets and 2 USB Ports,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,128618,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BX1000M,BX1000M,APC,Network Equipment,1000VA 8-OUT Back Ups Pro,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,156276,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
BX850M,BX850M,APC,Network Equipment,850VA 8-OUT Back Ups Pro,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,158009,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
ATCRL32102,ATCRL32102,At&t,Telephone Equipment,DECT Big Button Cordless Das,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,193503,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
P300,P300,Clarity,Telephone Equipment,Amplified Photo Phone,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,235561,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
52703,52703,Clarity,Telephone Equipment,Expandable Handset,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,203783,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
53712,53712,Clarity,Telephone Equipment,Amp Cordless Phone W/dig Answr,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,204280,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
53714,53714,Clarity,Telephone Equipment,D714 40DB Ampd Cordless Phone,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,205881,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
54505.001,54505.001,Clarity,Telephone Equipment,Alto Plus Amp Corded Phone,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,283999,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
59865.001,59865.001,Clarity,Telephone Equipment,XLC8 DECT 6.0 50 dB Amplified Cordless Phone System,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,151003,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
59234.001,59234.001,Clarity,Telephone Equipment,DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,156954,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CP1500AVRLCD3,CP1500AVRLCD3,Cyberpower,Network Cabling & Connectors,Intelligent Lcd Ups,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,138029,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
