public_sku,manufacturer_mpn,manufacturer,category,title,lowest_reliable_price,typical_public_price,highest_reasonable_price,proposed_retail_price,pricing_evidence_urls,evidence_date,confidence,pricing_status,notes
"C4-CJM","C4-CJM","Antennas Direct","Antennas & RF","Clearstream 4 Outdoor Antenna","","","","","https://www.bestbuy.com/product/antennas-direct-clearstream-4-uhf-indoor-outdoor-tv-antenna-multi-directional-70-mile-range-4k-8k-uhd-nextgen-tv-20-mast-black/J3R4FK5JWZ/sku/10750077/reviews | https://www.solidsignal.com/antennas-direct-clearstream-4-hdtv-antenna-with-j-mount-c4-cjm | https://www.bestbuy.com/site/antennas-direct-clearstream-digital-tv-antenna/9151687.p?skuId=9151687 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/2024-PDF-QS/C4-CJM_QS_2024-01.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"C4-V-CJM","C4-V-CJM","Antennas Direct","Antennas & RF","Ind/outdr Hdtv Ant/mnt","","","","","https://www.bestbuy.com/product/antennas-direct-clearstream-4v-indoor-outdoor-hdtv-antenna-black-silver/J3LV5Q5TKW | https://www.bestbuy.com/product/antennas-direct-clearstream-4v-indoor-outdoor-hdtv-antenna-black-silver/J3LV5Q5TKW/sku/10765242/reviews | https://www.opentip.com/Antennas-Direct-C4-V-CJM-ClearStream-4V-Extreme-Range-Indoor-Outdoor-HDTV-Antenna-p-10892438.html | https://antennasdirect.attachments2.freshdesk.com/data/helpdesk/attachments/production/19123519376/original/ClearStream%204V%20w-Mast%20Quick%20Start%20%28C4-V-CJM%29.pdf?Expires=1778375621&Key-Pair-Id=APKAJ7JARUX3F6RQIXLA&Signature=FF-7GPHZ4RnSFQFrxHAeqpaSLU3msuYuB1P3~iwd1j7BuavgYc7mXFuBTLB7bw1Hb6C~HpjPXsSKZ9oqZ~gzeUASHJ0rtD2ITIookgnR5-4O1RryFQd7iHM-5PZ77BP4DfvLgkWThhifTVWTZkMNEqW9H4PzJhjZ8iBU5pov5KvTpNDiRZTTg5vCguDNCexKiQjbGtZ7TgDlWmJnnUtOSTPfthE6bBiZ-4b4sCJERoQqCWk9fSXAHs60JwpUae5YWVZqN19S9QleJDL6LTingKkP4C-epBp98N1CSy8p4Irer9R~ogWoj~5Piv4nUhr3uRZcrUJ1k274QR2~HiZRyw__&response-content-disposition=attachment&response-content-type=application%2Fpdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"C5","C5","Antennas Direct","Antennas & RF","Clearstream 5 Dtv Antenna","","","","","https://www.bestbuy.com/site/antennas-direct-clearstream-5-long-range-uhf-vhf-hdtv-antenna-black/3547707.p?skuId=3547707 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/C5%20technical%20data%20with%20uhf.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CJMOUNT","CJMOUNT","Antennas Direct","Antennas & RF","Antenna Mount","24.97","24.97","24.97","","https://www.homedepot.com/p/302580983?MERCH=REC-_-fbr-_-303087505-_-1-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DB8-E","DB8-E","Antennas Direct","Antennas & RF","DB8E Bowtie UHF Antenna","179.99","179.99","179.99","","https://store.antennasdirect.com/DB8e-Outdoor-DTV-Antenna.html?bvstate=pg%3A16%2Fct%3Aq | https://ipcstore.com/db8e-bowtie-uhf-ant-1444550","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MAST40","MAST40","Antennas Direct","Antennas & RF","40IN ClearStream Universal Mast","","","","","https://www.staples.com/antennas-direct-clearstream-wall-mount-for-tv-antennas-satellite-dishes-mast40/product_24618148 | https://www.homedepot.com/p/335150001?MERCH=REC-_-pip_alternatives-_-315297580-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BK350","BK350","APC","Network Equipment","Back-UPS CS 350 VA Tower","","","","","https://blackhawksupply.com/products/apc-bk350 | https://www.staples.com/apc-back-ups-350va-battery-backup-and-surge-protector-6-outlets-beige-bk350/product_455381 | https://www.fullcompass.com/prod/094771-american-power-conversion-bk350-bk-350 | https://www.techtradecenter.si/apc-bk350-350va-210w-ups-brezprekinitveno-napajanje?pdf=1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BE550G","BE550G","APC","Network Equipment","550VA 8-OUT Back-ups Es","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BE650G1","BE650G1","APC","Network Equipment","Back-UPS 650 VA Battery Backup","","","","","https://www.digikey.com/en/products/detail/schneider-electric/BE650G1/28255712 | https://www.se.com/es/es/product/BE650G1/apc-backups-650va-120v-8-salidas-4-sobretensiones/ | https://www.altstore.si/apc-back-ups-be650g1-offline-650va-390w-120v-ups-breprekinitveno-napajanje?pdf=1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BK500","BK500","APC","Network Equipment","Back-ups 500 System","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BR1500MS2","BR1500MS2","APC","Network Equipment","Back-UPS Pro 1500 VA Tower with 10 AC Outlets and 2 USB Ports","","","","","https://www.abt.com/APC-Surge-Protector-Back-UPS-Pro-with-10-NEMA-5-15R-Outlets-USB-A-USB-C-in-Black-BR1500MS2/p/187948.html | https://www.bestbuy.com/product/apc-br1500ms2-back-ups-pro-10-outlet-2-usb-1500-va-battery-back-up-and-surge-protector-black/JXKZPRL8K2/sku/12660103/reviews | https://www.itdevices.ca/product-details/89013 | https://www.mouser.com/en/ProductDetail/APC-by-Schneider-Electric/BR1500MS2?qs=pUKx8fyJudAOvQBmFnzuNg%3D%3D","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BX1000M","BX1000M","APC","Network Equipment","1000VA 8-OUT Back Ups Pro","","","","","https://shopsavvy.com/products/apc-ups-bx1000m","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"BX850M","BX850M","APC","Network Equipment","850VA 8-OUT Back Ups Pro","161.99","161.99","161.99","","https://www.homedepot.com/p/306378972 | https://www.itdevicesonline.com/product-details/119130 | https://www.bhphotovideo.com/c/product/1322671-REG/apc_back_ups_pro_bx850m.html/ask-question","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"ATCRL32102","ATCRL32102","At&t","Telephone Equipment","DECT Big Button Cordless Das","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"P300","P300","Clarity","Telephone Equipment","Amplified Photo Phone","63.99","63.99","63.99","","https://www.bestbuy.com/product/clarity-76593-p300-amplified-corded-photo-phone-white/JXVSL7P79S/sku/12569931","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"52703","52703","Clarity","Telephone Equipment","Expandable Handset","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"53712","53712","Clarity","Telephone Equipment","Amp Cordless Phone W/dig Answr","","","","","https://www.quill.com/clarity-53712-amplified-cordless-phone-system-with-digital-answering-system/cbs/404226.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"53714","53714","Clarity","Telephone Equipment","D714 40DB Ampd Cordless Phone","","","","","https://www.realtor.com/local/market/wisconsin/zipcode-53714 | https://www.staples.com/Clarity-53714-Dect-6-0-Amplified-Cordless-Phone-With-Digital-Answering-System/product_2442319","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"54505.001","54505.001","Clarity","Telephone Equipment","Alto Plus Amp Corded Phone","","","","","https://www.headsetzone.com/54505-001.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"59865.001","59865.001","Clarity","Telephone Equipment","XLC8 DECT 6.0 50 dB Amplified Cordless Phone System","179.99","179.99","179.99","","https://www.bestbuy.com/product/clarity-1-cordless-handset-dect-6-0-50-db-amplified-phone-system-for-landline-answering-system-call-blocker-red-ringer-xlc8-white/J3QKFVPSQT/sku/12164620","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"59234.001","59234.001","Clarity","Telephone Equipment","DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CP1500AVRLCD3","CP1500AVRLCD3","Cyberpower","Network Cabling & Connectors","Intelligent Lcd Ups","","","","","https://www.cyberpowersystems.com/product/ups/intelligent-lcd/cp1500avrlcd3/ | https://shopsavvy.com/products/cyberpower-cp1500avrlcd3-ups | https://www.itdevices.ca/product-details/145019 | https://www.cdw.com/product/cyberpower-intelligent-lcd-cp1500avrlcd3-ups-900-watt-1500-va/7267655?msockid=3b554890a5c96d5512905f95a4d06ce8","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"45-0001-UWH","45-0001-UWH","Datacomm Electronics","Terminals, Jacks & Wall Plates","Uwhite 1 Gang Recessed","6.1","6.1","6.1","","https://www.petra.com/datacomm-electronics-45-0001-uwh-recessed-low-voltage-cable-plate-ultra-white-1-gang.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"50-3321-WH-KIT","50-3321-WH-KIT","Datacomm Electronics","Terminals, Jacks & Wall Plates","Flat Panel Cable Org Rem Kit","","","","","https://datacommelectronics.com/wp-content/uploads/2023/12/50-3321-WH-KIT_FS_12_2023.pdf | https://media.digikey.com/pdf/Data%20Sheets/DataComm%20Electronics%20PDFs/50-3321-WH-KIT.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"50-3323-WH-KIT","50-3323-WH-KIT","Datacomm Electronics","Cable Management","Recessed Pair Power Kit","","","","","https://www.clasf.co/datacomm-50-3323-wh-kit-kit-de-organizador-de-cable-de-tv-de-en-colombia-5570403/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"50-6623-WH-KIT","50-6623-WH-KIT","Datacomm Electronics","Terminals, Jacks & Wall Plates","Flat Panel Cable Org Dup Power","99.96","99.96","99.96","","https://www.lowes.com/pd/DataComm-Electronics-Flat-Panel-TV-Cable-Organizer-Kit-with-Duplex-Power-Solution/5000040399 | https://cablingplus.com/products/50-6623-wh-kit-datacomm-cable-organizer-kit | https://www.datacommelectronics.com/resources/50-6623-wh-kit-instruction-sheet-10-2019.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"500256","500256","Eagle Aspen","Antennas & RF","25 Db Distribution Amp","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DTV2BUHF","DTV2BUHF","Eagle Aspen","Antennas & RF","2-BAY UHF Outdoor Antenna","29.99","29.99","29.99","","https://www.petra.com/eagle-aspen-dtv2buhf-2-bay-uhf-outdoor-antenna.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"500302","500302","Eagle Aspen","Antennas & RF","2-WAY 1000 MHz Splitter","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"500303","500303","Eagle Aspen","Antennas & RF","3WAY All Port Power Splittr","6.15","6.15","6.15","","https://www.zoro.com/eagle-aspen-all-port-power-passing-3-way-1000mhz-splitter-500303/i/G0315376/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"500308","500308","Eagle Aspen","Network Cabling & Connectors","2-WAY Splitter","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"500312","500312","Eagle Aspen","Network Cabling & Connectors","4-WAY Splitter","","","","","https://summitsource.com/eagle-aspen-500312-4-way-splitter-5-2600-mhz-all-port-power-passing-2-ghz-commercial-grade-signal-digital-tv-antenna-lnbf-receiver-catv-separator-all-port-dc-passive-dls-divider-part-500312/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"EIS3-1004-WHT","EIS3-1004-WHT","Energizer Connect","Network Equipment","6OT Smart Surge Protector","","","","","https://www.lowes.com/pd/Energizer-Connect-6-Outlet-1200-Joules-1875-Watt-1875Va-Indoor-Ac-Surge-Protector/5014191347","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"AS-HP-5R","AS-HP-5R","Helios","Network Equipment","5OUT 2USB Surge Wall Tap","","","","","https://metrahometheater.s3.amazonaws.com/mhtg-documents/AS-HP-5R_AS-P-5R_PRODUCT_SHEET.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CS-1X4HDMSPL5","CS-1X4HDMSPL5","Ethereal","Network Cabling & Connectors","1IN/4OUT HDMI Splitter","","","","","https://www.compsource.com/buy/CS1X4HDMSPL5/Ethereal-4453","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CS-C5DE","CS-C5DE","Ethereal","Network Cabling & Connectors","CAT5/6 Digital Aud Extension","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CS-DAC2","CS-DAC2","Ethereal","Network Cabling & Connectors","Toslink/opt Spdif Converter","","","","","https://www.compsource.com/pn/CSDAC2/Ethereal-4453/Ethereal-Csdac2-Digital-Toslinkoptical-Spdif-To-Rca-Audio-Converter-Csdac2-Csdac2/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"CS-HDEXT4KPOEU","CS-HDEXT4KPOEU","Ethereal","Network Cabling & Connectors","4K Extender Cat6 Black","","","","","https://www.blackburnindustrial.com/products/cs-hdext4kpoeu | https://metrahometheater.s3.amazonaws.com/mhtg-documents/CS-HDEXT4KPOEU_Manual.pdf | https://manuals.plus/ethereal/cs-hdext4kpoeu-4k-hdmi-extender-over-single-cat6-manual.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MHX-LHDME12","MHX-LHDME12","Ethereal","Network Cabling & Connectors","12M HDMI Cable 10.2G","129.99","129.99","129.99","","https://www.bestbuy.com/product/ethereal-mhx-10-2-gbps-high-speed-hdmi-cable-with-ethernet-39-ft-black/J7RX7Y2JWJ/sku/10749111 | https://www.neobits.com/ethereal_mhx_lhdme12_ethereal_mhx_lhdme12_mhx_10_2_gbps_p24048335.html | https://www.zoro.com/ethereal-mhx-high-speed-hdmi-cable-with-ethernet-39ft-mhx-lhdme12/i/G610003245/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
