public_sku,manufacturer_mpn,manufacturer,title,pricing_status,confidence,reason,proposed_retail_price,pricing_approved,approved_public_price,evidence_urls
"C4-CJM","C4-CJM","Antennas Direct","Clearstream 4 Outdoor Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/antennas-direct-clearstream-4-uhf-indoor-outdoor-tv-antenna-multi-directional-70-mile-range-4k-8k-uhd-nextgen-tv-20-mast-black/J3R4FK5JWZ/sku/10750077/reviews | https://www.solidsignal.com/antennas-direct-clearstream-4-hdtv-antenna-with-j-mount-c4-cjm | https://www.bestbuy.com/site/antennas-direct-clearstream-digital-tv-antenna/9151687.p?skuId=9151687 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/2024-PDF-QS/C4-CJM_QS_2024-01.pdf"
"C4-V-CJM","C4-V-CJM","Antennas Direct","Ind/outdr Hdtv Ant/mnt","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/antennas-direct-clearstream-4v-indoor-outdoor-hdtv-antenna-black-silver/J3LV5Q5TKW | https://www.bestbuy.com/product/antennas-direct-clearstream-4v-indoor-outdoor-hdtv-antenna-black-silver/J3LV5Q5TKW/sku/10765242/reviews | https://www.opentip.com/Antennas-Direct-C4-V-CJM-ClearStream-4V-Extreme-Range-Indoor-Outdoor-HDTV-Antenna-p-10892438.html | https://antennasdirect.attachments2.freshdesk.com/data/helpdesk/attachments/production/19123519376/original/ClearStream%204V%20w-Mast%20Quick%20Start%20%28C4-V-CJM%29.pdf?Expires=1778375621&Key-Pair-Id=APKAJ7JARUX3F6RQIXLA&Signature=FF-7GPHZ4RnSFQFrxHAeqpaSLU3msuYuB1P3~iwd1j7BuavgYc7mXFuBTLB7bw1Hb6C~HpjPXsSKZ9oqZ~gzeUASHJ0rtD2ITIookgnR5-4O1RryFQd7iHM-5PZ77BP4DfvLgkWThhifTVWTZkMNEqW9H4PzJhjZ8iBU5pov5KvTpNDiRZTTg5vCguDNCexKiQjbGtZ7TgDlWmJnnUtOSTPfthE6bBiZ-4b4sCJERoQqCWk9fSXAHs60JwpUae5YWVZqN19S9QleJDL6LTingKkP4C-epBp98N1CSy8p4Irer9R~ogWoj~5Piv4nUhr3uRZcrUJ1k274QR2~HiZRyw__&response-content-disposition=attachment&response-content-type=application%2Fpdf"
"C5","C5","Antennas Direct","Clearstream 5 Dtv Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/site/antennas-direct-clearstream-5-long-range-uhf-vhf-hdtv-antenna-black/3547707.p?skuId=3547707 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/C5%20technical%20data%20with%20uhf.pdf"
"CJMOUNT","CJMOUNT","Antennas Direct","Antenna Mount","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/302580983?MERCH=REC-_-fbr-_-303087505-_-1-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa"
"DB8-E","DB8-E","Antennas Direct","DB8E Bowtie UHF Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://store.antennasdirect.com/DB8e-Outdoor-DTV-Antenna.html?bvstate=pg%3A16%2Fct%3Aq | https://ipcstore.com/db8e-bowtie-uhf-ant-1444550"
"MAST40","MAST40","Antennas Direct","40IN ClearStream Universal Mast","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.staples.com/antennas-direct-clearstream-wall-mount-for-tv-antennas-satellite-dishes-mast40/product_24618148 | https://www.homedepot.com/p/335150001?MERCH=REC-_-pip_alternatives-_-315297580-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa"
"BK350","BK350","APC","Back-UPS CS 350 VA Tower","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://blackhawksupply.com/products/apc-bk350 | https://www.staples.com/apc-back-ups-350va-battery-backup-and-surge-protector-6-outlets-beige-bk350/product_455381 | https://www.fullcompass.com/prod/094771-american-power-conversion-bk350-bk-350 | https://www.techtradecenter.si/apc-bk350-350va-210w-ups-brezprekinitveno-napajanje?pdf=1"
"BE550G","BE550G","APC","550VA 8-OUT Back-ups Es","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"BE650G1","BE650G1","APC","Back-UPS 650 VA Battery Backup","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.digikey.com/en/products/detail/schneider-electric/BE650G1/28255712 | https://www.se.com/es/es/product/BE650G1/apc-backups-650va-120v-8-salidas-4-sobretensiones/ | https://www.altstore.si/apc-back-ups-be650g1-offline-650va-390w-120v-ups-breprekinitveno-napajanje?pdf=1"
"BK500","BK500","APC","Back-ups 500 System","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"BR1500MS2","BR1500MS2","APC","Back-UPS Pro 1500 VA Tower with 10 AC Outlets and 2 USB Ports","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.abt.com/APC-Surge-Protector-Back-UPS-Pro-with-10-NEMA-5-15R-Outlets-USB-A-USB-C-in-Black-BR1500MS2/p/187948.html | https://www.bestbuy.com/product/apc-br1500ms2-back-ups-pro-10-outlet-2-usb-1500-va-battery-back-up-and-surge-protector-black/JXKZPRL8K2/sku/12660103/reviews | https://www.itdevices.ca/product-details/89013 | https://www.mouser.com/en/ProductDetail/APC-by-Schneider-Electric/BR1500MS2?qs=pUKx8fyJudAOvQBmFnzuNg%3D%3D"
