public_sku,approved_title,public_price,price_mode,pricing_approved,checkout_active,shipping_class,taxable,stripe_price_id,allowed_countries,stripe_shipping_rate_id,automatic_tax,notes
C4-CJM,Clearstream 4 Outdoor Antenna,,request_quote,false,false,manual_quote,true,,,,false,sale_or_territory_restricted
C4-V-CJM,Ind/outdr Hdtv Ant/mnt,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
C5,Clearstream 5 Dtv Antenna,,request_quote,false,false,manual_quote,true,,,,false,sale_or_territory_restricted
CJMOUNT,Antenna Mount,21.98,listed_price_shipping_quote,true,false,manual_quote,true,,,,false,public merchandise price; shipping and tax confirmed after review
DB8-E,DB8E Bowtie UHF Antenna,,request_quote,false,false,manual_quote,true,,,,false,sale_or_territory_restricted
MAST40,40IN ClearStream Universal Mast,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BK350,Back-UPS CS 350 VA Tower,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BE550G,550VA 8-OUT Back-ups Es,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BE650G1,Back-UPS 650 VA Battery Backup,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BK500,Back-ups 500 System,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BR1500MS2,Back-UPS Pro 1500 VA Tower with 10 AC Outlets and 2 USB Ports,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BX1000M,1000VA 8-OUT Back Ups Pro,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
BX850M,850VA 8-OUT Back Ups Pro,,request_quote,false,false,manual_quote,true,,,,false,above_msrp_manual_review
ATCRL32102,DECT Big Button Cordless Das,,request_quote,false,false,manual_quote,true,,,,false,sale_or_territory_restricted
P300,Amplified Photo Phone,,request_quote,false,false,manual_quote,true,,,,false,above_msrp_manual_review
52703,Expandable Handset,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
53712,Amp Cordless Phone W/dig Answr,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
53714,D714 40DB Ampd Cordless Phone,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
54505.001,Alto Plus Amp Corded Phone,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
59865.001,XLC8 DECT 6.0 50 dB Amplified Cordless Phone System,,request_quote,false,false,manual_quote,true,,,,false,above_msrp_manual_review
59234.001,DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons,,request_quote,false,false,manual_quote,true,,,,false,market_evidence_insufficient
CP1500AVRLCD3,Intelligent Lcd Ups,,request_quote,false,false,manual_quote,true,,,,false,discontinued
