public_sku,manufacturer_mpn,manufacturer,shipping_class,packaged_weight_lb,dimensional_weight_lb,billed_weight_lb,length_in,width_in,height_in,packaging_assumption,dimensional_weight_concerns,suggested_ups_ground_flat,suggested_rate_range,manual_quote_required,shipping_evidence_urls
"C4-CJM","C4-CJM","Antennas Direct","small","9.86","10","10","21.6","12.2","5.2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 10 lb exceeds supplier estimated ship weight 9.86 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"C4-V-CJM","C4-V-CJM","Antennas Direct","small","9.9","10","10","21.6","12.2","5.2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 10 lb exceeds supplier estimated ship weight 9.9 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"C5","C5","Antennas Direct","medium","12.31","13","13","29.5","23.2","2.5","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 13 lb exceeds supplier estimated ship weight 12.31 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CJMOUNT","CJMOUNT","Antennas Direct","small","2.18","2","3","19.8","5.1","2.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"DB8-E","DB8-E","Antennas Direct","large","25.29","26","26","37.4","23.5","4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 26 lb exceeds supplier estimated ship weight 25.29 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"MAST40","MAST40","Antennas Direct","large","8.61","9","9","39.9","7.5","4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 9 lb exceeds supplier estimated ship weight 8.61 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BK350","BK350","APC","medium","13","7","13","14.2","9.5","7","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BE550G","BE550G","APC","medium","14.25","6","15","15.3","9.1","5.3","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BE650G1","BE650G1","APC","medium","15.3","6","16","15.2","9.1","5.5","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BK500","BK500","APC","medium","14.5","7","15","14.2","9.4","7","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BR1500MS2","BR1500MS2","APC","medium","31.7","18","32","19.1","14","9","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"BX1000M","BX1000M","APC","medium","18.5","7","19","17.2","10","5.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
