public_sku,manufacturer,manufacturer_mpn,gtin,public_price,pricing_status,pricing_basis,map_status,public_pricing_restriction,match_method
C4-CJM,Antennas Direct,C4-CJM,853748001095,190.58,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
C4-V-CJM,Antennas Direct,C4-V-CJM,817848011118,213.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
C5,Antennas Direct,C5,853748001354,166.78,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
CJMOUNT,Antennas Direct,CJMOUNT,853748001392,21.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,supplier_sku
DB8-E,Antennas Direct,DB8-E,817848011620,214.38,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,supplier_sku
MAST40,Antennas Direct,MAST40,817848012542,59.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BK350,APC,BK350,731304016298,125.40,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BE550G,APC,BE550G,731304258940,153.76,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BE650G1,APC,BE650G1,731304285434,209.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BK500,APC,BK500,731304016304,249.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BR1500MS2,APC,BR1500MS2,731304426103,605.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BX1000M,APC,BX1000M,731304331766,399.98,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
BX850M,APC,BX850M,731304331797,365.22,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
ATCRL32102,At&t,ATCRL32102,650530024269,115.98,published_candidate,cost_times_two,positive_map_reported,none_recorded,manufacturer_mpn
P300,Clarity,P300,759599765936,90.48,published_candidate,cost_times_two,no_positive_map_reported,none_recorded,manufacturer_mpn
